text,label
"WASHINGTON (Reuters) - The U.S. Federal Reserve raised interest rates by a quarter percentage point on Wednesday, citing strong labor market conditions and inflation running near the central bank's two percent target. The decision was unanimous among voting members of the Federal Open Market Committee.",1
"NASA's Perseverance rover successfully collected its first rock sample from the surface of Mars, marking a major milestone in the agency's mission to search for signs of ancient microbial life. The sample will be returned to Earth in a future mission.",1
"The European Central Bank announced on Thursday that it would maintain its benchmark interest rate at the current level, while signaling a willingness to adjust monetary policy if inflation pressures persist into the next year.",1
"Researchers at Stanford University published findings in the journal Nature this week documenting a new method for early detection of pancreatic cancer using a blood biomarker, with sensitivity of 88 percent in clinical trials.",1
"The United Nations General Assembly convened a special session to address climate change adaptation in vulnerable coastal regions, with delegates from over 140 nations discussing funding mechanisms for resilience infrastructure.",1
"Apple reported quarterly revenue of 89.5 billion dollars, slightly below analyst expectations, as iPhone sales in China declined year over year while services revenue reached a new all-time high.",1
"The World Health Organization confirmed a new outbreak of cholera in northeastern parts of an African nation, with health workers deploying rehydration treatments and conducting vaccination campaigns in affected districts.",1
"Scientists from MIT have developed a new type of biodegradable polymer that could replace single-use plastics in food packaging, with the material breaking down completely in marine environments within six months.",1
"The Tokyo Stock Exchange closed up 1.2 percent on Friday, led by gains in semiconductor manufacturers, as investors responded positively to better than expected export data released by the trade ministry.",1
"A magnitude 6.4 earthquake struck off the coast of Indonesia early Sunday morning. The United States Geological Survey reported no immediate threat of a tsunami, and local authorities have not reported significant damage.",1
"The Supreme Court heard oral arguments in a case involving the regulation of social media platforms, with justices questioning attorneys about the balance between free speech protections and content moderation policies.",1
"Pfizer announced positive Phase 3 trial results for its experimental cancer immunotherapy drug, showing a 32 percent reduction in disease progression compared to standard chemotherapy in patients with advanced melanoma.",1
"The International Monetary Fund revised its global growth forecast downward to 2.9 percent for next year, citing persistent inflation, tightening financial conditions, and ongoing geopolitical tensions affecting energy markets.",1
"Microsoft completed its acquisition of a leading cybersecurity firm for 8.1 billion dollars, expanding its enterprise security offerings as cloud computing demand continues to grow among large corporate clients.",1
"The Centers for Disease Control reported a 15 percent decline in seasonal flu hospitalizations compared to the same period last year, attributing the drop to higher vaccination rates and improved antiviral treatments.",1
"Tesla reported the delivery of 466,000 vehicles in the third quarter, falling short of analyst estimates of 477,000 units, prompting a 3 percent decline in the company's share price during after-hours trading.",1
"The British government announced a new public investment plan for offshore wind energy, committing 12 billion pounds over the next decade to expand renewable generation capacity in the North Sea.",1
"Astronomers using the James Webb Space Telescope have detected water vapor in the atmosphere of an exoplanet 700 light years from Earth, providing new insights into how gas giants form around distant stars.",1
"The Bank of Japan kept its main policy rate unchanged at 0.1 percent on Tuesday, with Governor Kazuo Ueda signaling that further tightening would depend on continued wage growth in the spring labor negotiations.",1
"A team of archaeologists working in southern Egypt unveiled the discovery of an intact tomb dating to the Ptolemaic period, containing well-preserved artifacts and inscriptions that may shed light on funerary practices.",1
"BREAKING!!! Scientists CONFIRM that drinking lemon water cures cancer in 24 hours!!! Big Pharma doesn't want you to know this ONE TRICK that doctors HATE!!!",0
"You WON'T BELIEVE what this celebrity did at the airport! Doctors are STUNNED at this new weight loss method that melts 40 pounds in just one week without diet or exercise!",0
"SHOCKING TRUTH REVEALED: The government has been hiding the cure for diabetes for 50 years! Click here NOW before they take this article down!!!",0
"World leaders secretly met in an underground bunker to plan the new world order according to leaked documents that mainstream media REFUSES to cover. WAKE UP people!",0
"5G towers are causing a global pandemic and the elites are using vaccines to implant tracking chips in everyone! Share this before they delete it!",0
"Famous actor caught in shocking scandal involving aliens and the deep state — anonymous insider reveals all the details they don't want you to know.",0
"This MIRACLE fruit found only in the Amazon jungle BURNS belly fat overnight! Hollywood stars are using it secretly and you can too with this ONE WEIRD TRICK!",0
"Government insider LEAKS top secret documents proving the moon landing was filmed in a Hollywood studio! Photos inside that NASA tried to suppress for decades!",0
"Doctors HATE her! Local mom discovers the secret to looking 30 years younger using a household ingredient — pharmaceutical companies are PANICKING!",0
"BOMBSHELL: Election fraud exposed! Anonymous whistleblower claims thousands of votes were changed by foreign hackers in swing states — share before they censor!",0
"WARNING: New study shows your tap water contains DEADLY chemicals that the FDA approved! Buy our water purifier NOW with this special discount code!",0
"Celebrity death HOAX confirmed REAL after secret video surfaces — fans in disbelief as truth finally comes out about what really happened that night!",0
"INCREDIBLE: Man discovers ancient pyramid in his backyard containing alien technology! Government officials immediately seized the property and gagged him.",0
"You're being LIED TO! The Earth is actually flat and NASA has been hiding it for years — see the proof that mainstream science cannot explain away!",0
"SCANDAL: Major news network caught fabricating entire story to influence public opinion! Insider sources reveal the disturbing truth behind closed doors.",0
"Forbidden cancer cure DESTROYED by Big Pharma — natural remedy from grandma's recipe outperforms chemo in shocking clinical trial they REFUSE to publish!",0
"BANNED video shows secret meeting where global elites admit their plan to control world population through engineered viruses — watch before YouTube removes it!",0
"WAKE UP! Chemtrails from planes are mind control chemicals being sprayed on unsuspecting citizens — independent researchers have proof but media is silent!",0
"Celebrity insider EXPOSES Hollywood's darkest secret society and the bizarre rituals they perform — names and photos leaked by brave anonymous source!",0
"This SIMPLE TRICK eliminates wrinkles in 3 days! Plastic surgeons are FURIOUS that this 5-dollar drugstore product is putting them out of business everywhere!",0
